filename,group,study,ntips,dated
condamine_Podicipedidae.nwk,condamine_Podicipedidae,Condamine 2019,19,TRUE
condamine_Polioptilidae.nwk,condamine_Polioptilidae,Condamine 2019,15,TRUE
condamine_Procellariidae.nwk,condamine_Procellariidae,Condamine 2019,81,TRUE
condamine_Prunellidae.nwk,condamine_Prunellidae,Condamine 2019,13,TRUE
condamine_Psittacidae.nwk,condamine_Psittacidae,Condamine 2019,330,TRUE
condamine_Psophodidae.nwk,condamine_Psophodidae,Condamine 2019,13,TRUE
condamine_Pteroclidae.nwk,condamine_Pteroclidae,Condamine 2019,16,TRUE
condamine_Ptilonorhynchidae.nwk,condamine_Ptilonorhynchidae,Condamine 2019,19,TRUE
condamine_Pycnonotidae.nwk,condamine_Pycnonotidae,Condamine 2019,124,TRUE
condamine_Rallidae.nwk,condamine_Rallidae,Condamine 2019,125,TRUE
condamine_Ramphastidae.nwk,condamine_Ramphastidae,Condamine 2019,35,TRUE
condamine_Remizidae.nwk,condamine_Remizidae,Condamine 2019,12,TRUE
condamine_Rhinocryptidae.nwk,condamine_Rhinocryptidae,Condamine 2019,53,TRUE
condamine_Rhipiduridae.nwk,condamine_Rhipiduridae,Condamine 2019,42,TRUE
condamine_Scolopacidae.nwk,condamine_Scolopacidae,Condamine 2019,89,TRUE
condamine_Sittidae.nwk,condamine_Sittidae,Condamine 2019,24,TRUE
condamine_Spheniscidae.nwk,condamine_Spheniscidae,Condamine 2019,18,TRUE
condamine_Strigidae.nwk,condamine_Strigidae,Condamine 2019,191,TRUE
condamine_Sturnidae.nwk,condamine_Sturnidae,Condamine 2019,109,TRUE
condamine_Sulidae.nwk,condamine_Sulidae,Condamine 2019,10,TRUE
condamine_Sylviidae.nwk,condamine_Sylviidae,Condamine 2019,62,TRUE
condamine_Thamnophilidae.nwk,condamine_Thamnophilidae,Condamine 2019,219,TRUE
condamine_Thraupidae.nwk,condamine_Thraupidae,Condamine 2019,370,TRUE
condamine_Threskiornithidae.nwk,condamine_Threskiornithidae,Condamine 2019,34,TRUE
condamine_Timaliidae.nwk,condamine_Timaliidae,Condamine 2019,55,TRUE
condamine_Tinamidae.nwk,condamine_Tinamidae,Condamine 2019,47,TRUE
condamine_Tityridae.nwk,condamine_Tityridae,Condamine 2019,41,TRUE
condamine_Trochilidae.nwk,condamine_Trochilidae,Condamine 2019,334,TRUE
condamine_Troglodytidae.nwk,condamine_Troglodytidae,Condamine 2019,79,TRUE
condamine_Trogonidae.nwk,condamine_Trogonidae,Condamine 2019,42,TRUE
condamine_Turdidae.nwk,condamine_Turdidae,Condamine 2019,170,TRUE
condamine_Turnicidae.nwk,condamine_Turnicidae,Condamine 2019,16,TRUE
condamine_Tyrannidae.nwk,condamine_Tyrannidae,Condamine 2019,419,TRUE
condamine_Tytonidae.nwk,condamine_Tytonidae,Condamine 2019,15,TRUE
condamine_Vangidae.nwk,condamine_Vangidae,Condamine 2019,21,TRUE
condamine_Viduidae.nwk,condamine_Viduidae,Condamine 2019,20,TRUE
condamine_Vireonidae.nwk,condamine_Vireonidae,Condamine 2019,58,TRUE
condamine_Zosteropidae.nwk,condamine_Zosteropidae,Condamine 2019,120,TRUE
condamine_Crocodylia.nwk,condamine_Crocodylia,Condamine 2019,25,TRUE
condamine_Testudines.nwk,condamine_Testudines,Condamine 2019,233,TRUE
condamine_Atelidae.nwk,condamine_Atelidae,Condamine 2019,24,TRUE
condamine_Bathyergidae.nwk,condamine_Bathyergidae,Condamine 2019,14,TRUE
condamine_Bovidae.nwk,condamine_Bovidae,Condamine 2019,138,TRUE
condamine_Canidae.nwk,condamine_Canidae,Condamine 2019,34,TRUE
condamine_Capromyidae.nwk,condamine_Capromyidae,Condamine 2019,14,TRUE
condamine_Caviidae.nwk,condamine_Caviidae,Condamine 2019,16,TRUE
condamine_Cebidae.nwk,condamine_Cebidae,Condamine 2019,48,TRUE
condamine_Cercopithecidae.nwk,condamine_Cercopithecidae,Condamine 2019,127,TRUE
condamine_Cervidae.nwk,condamine_Cervidae,Condamine 2019,45,TRUE
condamine_Cheirogaleidae.nwk,condamine_Cheirogaleidae,Condamine 2019,15,TRUE
condamine_Chrysochloridae.nwk,condamine_Chrysochloridae,Condamine 2019,17,TRUE
condamine_Cricetidae.nwk,condamine_Cricetidae,Condamine 2019,620,TRUE
condamine_Ctenomyidae.nwk,condamine_Ctenomyidae,Condamine 2019,51,TRUE
condamine_Dasypodidae.nwk,condamine_Dasypodidae,Condamine 2019,20,TRUE
condamine_Dasyproctidae.nwk,condamine_Dasyproctidae,Condamine 2019,13,TRUE
condamine_Dasyuridae.nwk,condamine_Dasyuridae,Condamine 2019,63,TRUE
condamine_Delphinidae.nwk,condamine_Delphinidae,Condamine 2019,34,TRUE
condamine_Didelphidae.nwk,condamine_Didelphidae,Condamine 2019,84,TRUE
condamine_Dipodidae.nwk,condamine_Dipodidae,Condamine 2019,51,TRUE
condamine_Echimyidae.nwk,condamine_Echimyidae,Condamine 2019,69,TRUE
condamine_Emballonuridae.nwk,condamine_Emballonuridae,Condamine 2019,49,TRUE
condamine_Erethizontidae.nwk,condamine_Erethizontidae,Condamine 2019,14,TRUE
condamine_Erinaceidae.nwk,condamine_Erinaceidae,Condamine 2019,22,TRUE
condamine_Felidae.nwk,condamine_Felidae,Condamine 2019,40,TRUE
condamine_Galagidae.nwk,condamine_Galagidae,Condamine 2019,18,TRUE
condamine_Geomyidae.nwk,condamine_Geomyidae,Condamine 2019,38,TRUE
condamine_Gliridae.nwk,condamine_Gliridae,Condamine 2019,27,TRUE
condamine_Herpestidae.nwk,condamine_Herpestidae,Condamine 2019,33,TRUE
condamine_Heteromyidae.nwk,condamine_Heteromyidae,Condamine 2019,58,TRUE
condamine_Hipposideridae.nwk,condamine_Hipposideridae,Condamine 2019,74,TRUE
condamine_Hylobatidae.nwk,condamine_Hylobatidae,Condamine 2019,14,TRUE
condamine_Hystricidae.nwk,condamine_Hystricidae,Condamine 2019,11,TRUE
condamine_Indriidae.nwk,condamine_Indriidae,Condamine 2019,10,TRUE
condamine_Lemuridae.nwk,condamine_Lemuridae,Condamine 2019,19,TRUE
condamine_Leporidae.nwk,condamine_Leporidae,Condamine 2019,58,TRUE
condamine_Macropodidae.nwk,condamine_Macropodidae,Condamine 2019,56,TRUE
